message,actual_sarcasm,predicted_sarcasm,sarcasm_confidence,actual_sentiment
Guyss room pe hu aajao,False,True,0.7382,Positive
süsse Träume,False,True,0.968,Neutral
Mtb mai room hai toh,False,True,0.9917,Neutral
Next holii mein rang lagayenge aap ko 🌚💗,True,False,0.8257,Positive
Arey next ki kya zaroorat abhi aane ke baad bhi khelenge🎉🤗,False,True,0.5809,Positive
Kya baat haiii,False,True,0.987,Positive
U never know,False,True,0.9887,Neutral
CSE ke naam pe dhbbe logo ka aaj ka 4-5 wala lecture bhi cancel ho gaya🤩🤩🤩🤩,True,False,0.995,Positive
If anyone took my bisleri pls return it Hamsini Room 259,False,True,0.9993,Neutral
Haan matlab jinko sath room lene hain voh log 😭,False,True,0.9918,Neutral
Kya hua tumhara?,False,True,0.9929,Neutral
Either single or double already filled hata😭,False,True,0.9978,Negative
Bilkul naa hai🥲,False,True,0.9607,Negative
Ohhh sorry galat jageh bhej diya,False,True,0.5705,Neutral
Where are u guys 🧐👀,False,True,0.9623,Neutral
Haan to P&C se total 3 combination bante haii...😅,False,True,0.9962,Neutral
dil tham ke bedhiye bhaiyo and baheno..,True,False,0.9988,Positive
aree aree wo perfect match pe matt jao.. wo to copilot ne apne se likh diya. and mene bhi change nahi kara🥲😁,True,False,0.9173,Neutral
Kab hai waise ye?,False,True,0.9839,Neutral
That I don't know,False,True,0.7842,Neutral
Ha. Sahi pakde haii😂😂,True,False,0.988,Positive
Tu theek toh hai na,False,True,0.9391,Neutral
Haaa bohot jaldi aagyi,True,False,0.9488,Positive
Haaa woh bas tujhse hi pyaar karta hai na 😒😒😒,True,False,0.9981,Negative
Kaam ke talaash me khud ki bhi sudh nahi,True,False,0.9992,Negative
ये क्या चिन्ह है?,False,True,0.9996,Neutral
"गलत बात है,कुछ खाया पिया करो।",False,True,0.9997,Positive
Khane pine ki zarurat nahi hai,True,False,0.9985,Negative
Mai anjali ki behen patanjali hu @⁨Unknown user⁩,True,False,0.8357,Neutral
No one welcomed me😞🥹😞🤬😡,False,True,0.9794,Negative
Bhaiii ❤️‍🔥 greatest comeback to point in the history ❤️‍🔥❤️‍🔥🔥🔥,True,False,0.7364,Positive
Aise manipulative cheeze mai hi karti hu :),True,False,0.9953,Negative
Subject hi to pach rahi hu,True,False,0.9918,Negative
im not gonna think about it tho hopefully 😭,False,True,0.9485,Neutral
usse shayad long weekday chahiye tha (long weekend bahut door hai) 😭😂,True,False,0.9384,Neutral
Uski attendance 100% se kam ho jaayegi,True,False,0.9981,Negative
Inglisss bhi Modi jesi haii🤓🤓,True,False,0.9964,Negative
Itna formal kyu bol raha hai 😂,True,False,0.9727,Neutral
Bhai marks ka i dont care but argument toh wrong mat do 😂,False,True,0.6923,Negative
Aadhe ghante tak wahi boli... Thode se bewakoof ho kya ashutosh bhai,True,False,0.9989,Negative
Aaj bohot jaldi aa gaye,True,False,0.9987,Negative
It's too hot outside,False,True,0.8236,Neutral
Surveying ke,False,True,0.8911,Neutral
Bhai Teri aankho ke paani ke wajah se hi baarish ho rhi hai 😂,True,False,0.9861,Positive
Isliye meet ka time badalna pada,True,False,0.9983,Neutral
😂😂Arre,False,True,0.9724,Positive
Tu sun ki tarah chamak rha tha isliye aankhe band kar li,True,False,0.9993,Negative
Nhi aayenge,False,True,0.6402,Negative
Bohot jaldi nahi ho jayega,False,True,0.9774,Neutral
Add one more option,False,True,0.9957,Neutral
Kya yh celebration deserve krta hai,False,True,0.592,Neutral
Abe sab ajana likhte hai,False,True,0.6329,Neutral
Makasad pura Krna h toh ek bhi clue bachna nhi chahiye 🙂🙂😂,True,False,0.9838,Negative
Nahi ana chahiye,False,True,0.986,Negative
Tujhse na ho payega chorde tu,True,False,0.9916,Negative
Ok sir,False,True,0.7074,Neutral
"Shuruwat hi cancellation se, kya baat hai😂",True,False,0.5698,Negative
"Bhai sahab ko yahi aata hai, kaam toh ho nhi rha inse",True,False,0.999,Negative
Agle tenure mai video se hi kaam chalayenge,True,False,0.999,Negative
I said shree ram saw not me,False,True,0.9963,Neutral
Phir kaha aise seniors milenge jinki sledging karnw mein maza ata hein😂,True,False,0.9939,Positive
Mujhe nahi marenge pyaare seniors hein,True,False,0.9799,Positive
yeh jagah aur idhar ke log we remember,True,False,0.999,Neutral
Amusement park me hun ... aagy bs,False,True,0.9806,Positive
Bring your personal laptop for the test,False,True,0.9327,Neutral
It is for TODAY only,False,True,0.9994,Neutral
Congratulations 👏,False,True,0.7653,Positive
To all the girls. Its a great opportunity. Dont miss this please,False,True,0.8246,Positive
"Only 14 girls from your batch are interested in Nvidia , may i know the reason why others weren't?",False,True,0.999,Neutral
2 baar bol chuke bhai lekin vo unka natural state hai vapis usi me aajate hai 😭,True,False,0.9962,Negative
Ye poll shuru se itna balanced kaise hai 💀,True,False,0.986,Neutral
There is no OOPs class this week right ?,False,True,0.9982,Neutral
and we will focus on only software wli problems,False,True,0.9992,Neutral
I am personally more attracted towards smart education,False,True,0.9988,Positive
who wants to be team leader?,False,True,0.8945,Neutral
Kuch bhi rakh de chatgpt karke.. waise bhi meri choice bahot buri hoti hai🥲,True,False,0.9956,Negative
Aree Aree bhai meri bhi esi hi choice h,True,False,0.999,Neutral
Haan achchaa haiii,False,True,0.9985,Positive
ohh phir to achha h,False,True,0.8795,Positive
Nahi nahi.. cancel ho gaya,False,True,0.7623,Negative
sb free honge n ?,False,True,0.9825,Neutral
Everybody come fast!!!,False,True,0.794,Positive
Muje to nahi aana,False,True,0.9299,Negative
Haan me bhi room ke bahar hi hu😭😭,False,True,0.7595,Neutral
but still if you guys wanna know,False,True,0.9827,Neutral
Ohh haa sahi haii,False,True,0.9525,Positive
I am free anytime today,False,True,0.7886,Positive
aree yrr sorry,False,True,0.8827,Negative
i was sleeping without alarm,False,True,0.9991,Neutral
Koi nahi aaja,False,True,0.8143,Positive
ha bss ayi 2 min,False,True,0.9906,Neutral
m ati hu 2 min m udhr,False,True,0.865,Neutral
konse mess m ho ?,False,True,0.8547,Neutral
form submitted 👍,False,True,0.8833,Positive
They were telling we can do little changes in ppt,False,True,0.9994,Neutral
Aapke irade thik nahi lag rahe🌚🌚,True,False,0.9557,Negative
Hamre irade to bahot nek hai..🌝,True,False,0.9594,Positive
Wo to jo 748 m rehta hai unko pata hi hai,True,False,0.9929,Neutral
Kaha?,False,True,0.9514,Neutral
Nahi sorry mai bahaar jaake marne wali hu toh....,True,False,0.9859,Negative
