message,sentiment,is_sarcastic
Isme kucch question hai jo tum try kar skte ho,Neutral,FALSE
Agar karna ho to,Neutral,FALSE
Guyss room pe hu aajao,Neutral,FALSE
Do jane chal ke aaye,Neutral,FALSE
Usse acha ek Jan aaja,Neutral,FALSE
süsse Träume,Positive,FALSE
Tere room me mtb aa raha hai?,Neutral,FALSE
Bas sone ja rhi hu,Neutral,FALSE
Room mai mtb kaise aayega,Neutral,FALSE
Mtb mai room hai toh,Neutral,FALSE
Library card kab Dene chalna hai?,Neutral,FALSE
Next holii mein rang lagayenge aap ko 🌚💗,Positive,FALSE
Arey next ki kya zaroorat abhi aane ke baad bhi khelenge🎉🤗,Positive,FALSE
Atankwaadiiii,Neutral,FALSE
Kya baat haiii,Positive,FALSE
Nahiiiii haaar sache bau j gando chhhe... Please change karo yaaar😭,Negative,FALSE
U never know,Neutral,FALSE
I gonna buy a mask and wear it everywhere whenever I am with you😡,Negative,TRUE
Guyss opportunity to gain 50 rupees,Positive,FALSE
CSE ke naam pe dhbbe logo ka aaj ka 4-5 wala lecture bhi cancel ho gaya🤩🤩🤩🤩,Positive,TRUE
Idhr DELD ki bkl lab karni hain attend,Negative,FALSE
Aise hi jayenge,Neutral,FALSE
Ae kal jo bhi jaldi uth jaaye wo ekbar check kar lena ki mein uthi hu ya nahi.. Warna muje utha dena,Neutral,FALSE
Koi uthe i hope pehle,Neutral,FALSE
Mein same chiz tujhe bolne aanewali thi🥲,Neutral,FALSE
If anyone took my bisleri pls return it Hamsini Room 259,Neutral,FALSE
Aur apne room no. Mein hi daalna 😭,Neutral,FALSE
Baki hope ki sabka mast ho jaye allotment 🥰,Positive,FALSE
Haan matlab jinko sath room lene hain voh log 😭,Neutral,FALSE
Kya hua tumhara?,Neutral,FALSE
Mere sath kisi ne bhar liya bhai 😭💀,Negative,FALSE
Ek kaam karte hai tum log saath le lena aur woh jo aur ek bandi hai uska internal setting jo ho raha ho theek nahi toh mere saath bhej dena,Neutral,FALSE
Either single or double already filled hata😭,Negative,FALSE
Sab kab aa rahe hostel ?,Neutral,FALSE
Vah vahhh,Neutral,TRUE
Sab frnds ko bol dena 😭😭,Neutral,FALSE
😭😭nahi ho sakta,Negative,FALSE
Bilkul naa hai🥲,Negative,FALSE
