message,actual_sentiment,predicted_sentiment,sentiment_confidence,actual_sarcasm
Isme kucch question hai jo tum try kar skte ho,Neutral,Positive,0.7926,False
Agar karna ho to,Neutral,Negative,0.4962,False
Guyss room pe hu aajao,Positive,Neutral,0.9945,False
Do jane chal ke aaye,Neutral,Negative,0.9359,False
Usse acha ek Jan aaja,Neutral,Positive,0.6053,False
süsse Träume,Neutral,Positive,0.9983,False
Bas sone ja rhi hu,Neutral,Negative,0.9483,False
U never know,Neutral,Positive,0.7975,False
I gonna buy a mask and wear it everywhere whenever I am with you😡,Negative,Positive,0.976,True
Guyss opportunity to gain 50 rupees,Positive,Neutral,0.9447,True
Idhr DELD ki bkl lab karni hain attend,Negative,Neutral,0.9831,False
Mein same chiz tujhe bolne aanewali thi🥲,Neutral,Positive,0.4271,False
Haan matlab jinko sath room lene hain voh log 😭,Neutral,Negative,0.6562,False
Either single or double already filled hata😭,Negative,Neutral,0.569,False
Sab kab aa rahe hostel ?,Neutral,Positive,0.701,False
Sab frnds ko bol dena 😭😭,Neutral,Negative,0.992,False
Bilkul naa hai🥲,Negative,Positive,0.9925,False
Ohhh sorry galat jageh bhej diya,Neutral,Negative,0.9812,False
Where are u guys 🧐👀,Neutral,Positive,0.6911,False
Mere room mai hai mai aur Pratiksha ....aaja jaldi,Positive,Neutral,0.5917,False
Chal ab mereko dekh ne de,Neutral,Negative,0.9883,False
Haan to P&C se total 3 combination bante haii...😅,Neutral,Negative,0.7521,False
dil tham ke bedhiye bhaiyo and baheno..,Positive,Negative,0.5342,True
aree aree wo perfect match pe matt jao.. wo to copilot ne apne se likh diya. and mene bhi change nahi kara🥲😁,Neutral,Positive,0.9866,True
Tu theek toh hai na,Neutral,Negative,0.9953,False
😭😭fees mat bhara karo meri plsssss🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼,Negative,Positive,0.9972,False
Chinha nhi emoji aur yeh emoji gaali dene ka hai,Neutral,Negative,0.9953,False
"गलत बात है,कुछ खाया पिया करो।",Positive,Negative,0.9924,False
Khane pine ki zarurat nahi hai,Negative,Neutral,0.9053,True
Aise manipulative cheeze mai hi karti hu :),Negative,Positive,0.9971,True
Meri mummy teri mummy ko call ki,Neutral,Positive,0.6828,False
Aunty ko bolna zyada khana na pack kare,Neutral,Negative,0.7068,False
Chal chal nikal🥴,Negative,Neutral,0.7424,False
im not gonna think about it tho hopefully 😭,Neutral,Negative,0.9121,False
usse shayad long weekday chahiye tha (long weekend bahut door hai) 😭😂,Neutral,Negative,0.9819,True
Chahiye kya abhi tujhe,Neutral,Negative,0.9543,False
Kyu tension le raha hai,Neutral,Negative,0.9894,False
Uski attendance 100% se kam ho jaayegi,Negative,Positive,0.7664,True
Never thought I would sleep in an economics class,Negative,Neutral,0.9822,True
"Bro should stawph teaching, join bjp atp and promote Vimal there",Negative,Neutral,0.9337,True
Inglisss bhi Modi jesi haii🤓🤓,Negative,Positive,0.9935,True
Itna formal kyu bol raha hai 😂,Neutral,Negative,0.9962,True
Victim blaming is what indians are good at doing 👄💅,Negative,Positive,0.9654,True
Ye baat sir ko bolni chajye thi n bhai,Neutral,Positive,0.5799,False
Aaj bohot jaldi aa gaye,Negative,Positive,0.9966,True
It's too hot outside,Neutral,Negative,0.5118,False
Tutorial hi nhi diya ki questions hi nhi hai tumhare paas??,Neutral,Negative,0.6869,False
Bhai Teri aankho ke paani ke wajah se hi baarish ho rhi hai 😂,Positive,Negative,0.9689,True
😂😂Arre,Positive,Negative,0.9854,False
Lanka laga de😂,Positive,Negative,0.8649,False
Ab jo bhi aa rahe hai laptop lekar aana,Neutral,Positive,0.7563,False
Agar village visit me log bohot Kam jaate hai ya postponed hoti hai toh,Neutral,Negative,0.9855,False
Bohot jaldi nahi ho jayega,Neutral,Positive,0.9667,False
Kya yh celebration deserve krta hai,Neutral,Negative,0.6992,False
Abe sab ajana likhte hai,Neutral,Positive,0.9953,False
Koi saath chal rha ho to main jane ko ready hu,Positive,Neutral,0.8547,False
Nahi ana chahiye,Negative,Neutral,0.724,False
Ok sir,Neutral,Positive,0.5034,False
Agle tenure mai video se hi kaam chalayenge,Negative,Positive,0.9627,True
Yeh sab kya chal raha hai,Neutral,Negative,0.9898,False
Mujhe nahi marenge pyaare seniors hein,Positive,Negative,0.6062,True
yeh jagah aur idhar ke log we remember,Neutral,Positive,0.9982,True
Ye poll shuru se itna balanced kaise hai 💀,Neutral,Negative,0.9718,True
I am personally more attracted towards smart education,Positive,Neutral,0.6227,False
Aree Aree bhai meri bhi esi hi choice h,Neutral,Positive,0.9671,True
Han to bandh kar do .,Neutral,Negative,0.9962,False
Haan me bhi room ke bahar hi hu😭😭,Neutral,Negative,0.9078,False
Abhi banate hai ppt,Neutral,Positive,0.7548,False
i was sleeping without alarm,Neutral,Positive,0.9965,False
Koi nahi aaja,Positive,Negative,0.9948,False
ha bss ayi 2 min,Neutral,Positive,0.9947,False
mess m practice krenge ?,Neutral,Negative,0.887,False
We don't use insta🙃🙃,Neutral,Negative,0.6825,True
Ho gya apna 🥳🥳,Positive,Neutral,0.7858,False
pta nhi yrr... puchte h kisi se,Neutral,Negative,0.9945,False
and bhut khali khali ppt lg rhi h apni,Negative,Positive,0.9976,False
Rukk dhundte haii,Neutral,Negative,0.976,False
Okkkkayyy... that's why may be we need to change..,Neutral,Positive,0.9896,True
Same goes for you,Neutral,Positive,0.9584,True
Toh chalna padega ready hoke pura,Neutral,Negative,0.6102,False
Yeh ghar ka grp nhi hai sih ka hai,Neutral,Negative,0.5004,False
ho jani chiye re...tumhari wli bhejo tb pray krungi,Positive,Negative,0.99,True
Where were you till now?,Positive,Neutral,0.9885,False
Kaha mar gayi thi,Negative,Neutral,0.9678,True
I'm getting late for the class yaar,Positive,Negative,0.9456,False
Yaar mai bhi kya karne lag gayi thi 😩,Neutral,Negative,0.9961,False
"Ha ha, as If I have done pdf in this subject",Negative,Positive,0.995,True
I Don't know anything yaar,Positive,Negative,0.9501,False
"Are mai sundar hi hoon, bacchpan se",Neutral,Negative,0.9394,True
Gum toh hai mere pass,Neutral,Positive,0.9545,True
Bhagwannnn!,Negative,Positive,0.9985,True
Ye kand sunne ke baad toh meri mummy bohot pyaar karegi bhai mujhe,Negative,Positive,0.9973,True
Me? Mad? I'm the happiest I've ever been,Negative,Positive,0.9982,True
"Gee, thanks for helping me out there",Negative,Positive,0.9984,True
Jaldi bahar aa,Neutral,Positive,0.9939,False
"Sorry, wo kal bhul gayi thi send karna",Neutral,Negative,0.9946,False
acha exam ke baad thodi der baad baat karte hain 😂,Neutral,Positive,0.9901,False
