message,actual_sentiment,predicted_sentiment,sentiment_confidence,actual_sarcasm,predicted_sarcasm,sarcasm_confidence
Isme kucch question hai jo tum try kar skte ho,Neutral,Positive,0.7926,False,False,0.9989
Agar karna ho to,Neutral,Negative,0.4962,False,False,0.9724
Guyss room pe hu aajao,Positive,Neutral,0.9945,False,True,0.7382
Do jane chal ke aaye,Neutral,Negative,0.9359,False,False,0.9984
Usse acha ek Jan aaja,Neutral,Positive,0.6053,False,False,0.9967
süsse Träume,Neutral,Positive,0.9983,False,True,0.968
Bas sone ja rhi hu,Neutral,Negative,0.9483,False,False,0.9277
Mtb mai room hai toh,Neutral,Neutral,0.9974,False,True,0.9917
Next holii mein rang lagayenge aap ko 🌚💗,Positive,Positive,0.9975,True,False,0.8257
Arey next ki kya zaroorat abhi aane ke baad bhi khelenge🎉🤗,Positive,Positive,0.9903,False,True,0.5809
Kya baat haiii,Positive,Positive,0.9986,False,True,0.987
U never know,Neutral,Positive,0.7975,False,True,0.9887
I gonna buy a mask and wear it everywhere whenever I am with you😡,Negative,Positive,0.976,True,True,0.9587
Guyss opportunity to gain 50 rupees,Positive,Neutral,0.9447,True,True,0.9967
CSE ke naam pe dhbbe logo ka aaj ka 4-5 wala lecture bhi cancel ho gaya🤩🤩🤩🤩,Positive,Positive,0.863,True,False,0.995
Idhr DELD ki bkl lab karni hain attend,Negative,Neutral,0.9831,False,False,0.9992
Mein same chiz tujhe bolne aanewali thi🥲,Neutral,Positive,0.4271,False,False,0.9908
If anyone took my bisleri pls return it Hamsini Room 259,Neutral,Neutral,0.9973,False,True,0.9993
Haan matlab jinko sath room lene hain voh log 😭,Neutral,Negative,0.6562,False,True,0.9918
Kya hua tumhara?,Neutral,Neutral,0.7593,False,True,0.9929
Either single or double already filled hata😭,Negative,Neutral,0.569,False,True,0.9978
Sab kab aa rahe hostel ?,Neutral,Positive,0.701,False,False,0.8591
Sab frnds ko bol dena 😭😭,Neutral,Negative,0.992,False,False,0.9878
Bilkul naa hai🥲,Negative,Positive,0.9925,False,True,0.9607
Ohhh sorry galat jageh bhej diya,Neutral,Negative,0.9812,False,True,0.5705
Where are u guys 🧐👀,Neutral,Positive,0.6911,False,True,0.9623
Mere room mai hai mai aur Pratiksha ....aaja jaldi,Positive,Neutral,0.5917,False,False,0.9941
Chal ab mereko dekh ne de,Neutral,Negative,0.9883,False,False,0.9983
Haan to P&C se total 3 combination bante haii...😅,Neutral,Negative,0.7521,False,True,0.9962
dil tham ke bedhiye bhaiyo and baheno..,Positive,Negative,0.5342,True,False,0.9988
aree aree wo perfect match pe matt jao.. wo to copilot ne apne se likh diya. and mene bhi change nahi kara🥲😁,Neutral,Positive,0.9866,True,False,0.9173
Kab hai waise ye?,Neutral,Neutral,0.6514,False,True,0.9839
That I don't know,Neutral,Neutral,0.9913,False,True,0.7842
Ha. Sahi pakde haii😂😂,Positive,Positive,0.9983,True,False,0.988
Tu theek toh hai na,Neutral,Negative,0.9953,False,True,0.9391
Haaa bohot jaldi aagyi,Positive,Positive,0.9978,True,False,0.9488
Haaa woh bas tujhse hi pyaar karta hai na 😒😒😒,Negative,Negative,0.9927,True,False,0.9981
😭😭fees mat bhara karo meri plsssss🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼,Negative,Positive,0.9972,False,False,0.9943
Kaam ke talaash me khud ki bhi sudh nahi,Negative,Negative,0.4793,True,False,0.9992
ये क्या चिन्ह है?,Neutral,Neutral,0.998,False,True,0.9996
Chinha nhi emoji aur yeh emoji gaali dene ka hai,Neutral,Negative,0.9953,False,False,0.999
